date,location,time,type,latitude,longitude
2024-06-11,Orivesi,20:18:00,Rakennuspalo,61.677407146,24.357389414
2024-06-11,Kuopio,20:10:42,Rakennuspalo,62.892982923,27.688934744
2024-06-11,Pori,19:40:59,Tieliikenneonnettomuus,61.483726303,21.795900114
2024-06-11,Kruunupyy,19:35:16,Rakennuspalo,63.727817733,23.033771859
2024-06-11,Koski Tl,17:15:45,Rakennuspalo,60.652981939,23.137367393
2024-06-11,Kurikka,17:07:30,Rakennuspalo,62.618893949,22.39877371
2024-06-11,Turku,15:21:47,Vahingontorjunta,60.451690351,22.266866666
2024-06-11,Ulvila,15:19:32,Ihmisen pelastaminen,61.432652934,21.888033305
2024-06-11,Kouvola,14:31:09,Tulipalo,60.866825214,26.705598153
2024-06-11,Ii,13:57:46,Ihmisen pelastaminen vedestä,65.322611335,25.374983789
2024-06-11,Laukaa,13:46:41,Ihmisen pelastaminen vedestä,62.413528005,25.957777304
2024-06-11,Salo,12:02:51,Rakennuspalo,60.384373601,23.126727127
2024-06-10,Tuusula,19:24:01,Vahingontorjunta,60.402369377,25.025142036
2024-06-10,Vaasa,18:17:31,Rakennuspalo,63.092588875,21.615874122
2024-06-10,Loimaa,17:55:09,Liikennevälinepalo,60.851362252,23.058593858
2024-06-10,Janakkala,09:19:33,Vaarallisen aineen onnettomuus,60.921846055,24.647706584
2024-06-11,Kemijärvi,23:55:14,Maastopalo,66.715018519,27.430577528
2024-06-11,Oulu,23:49:28,Palohälytys,65.013784817,25.47209907
2024-06-11,Kauhajoki,23:07:17,Palohälytys,62.425088156,22.177243878
2024-06-11,Leppävirta,22:16:50,Rakennuspalo,62.491829038,27.788663006
2024-06-11,Leppävirta,22:16:50,Tulipalo,62.491829038,27.788663006
2024-06-11,Helsinki,22:14:22,Palohälytys,60.166640739,24.943536799
2024-06-11,Lohja,21:59:46,Tulipalo,60.250916253,24.065782053
2024-06-11,Lappeenranta,21:55:57,Öljy- tai ympäristöonnettomuus maalla,61.058749724,28.187689913
2024-06-11,Salo,21:55:32,Rakennuspalo,60.384373601,23.126727127
2024-06-11,Lumijoki,21:54:22,Savuhavainto,64.837617135,25.187125981
2024-06-11,Kouvola,21:47:41,Palohälytys,60.866825214,26.705598153
2024-06-11,Hämeenlinna,21:40:13,Palohälytys,60.996174323,24.464424988
2024-06-11,Lahti,21:39:05,Savuhavainto,60.980380564,25.654987962
2024-06-11,Helsinki,21:32:19,Eläimen pelastaminen,60.166640739,24.943536799
2024-06-11,Asikkala,21:28:58,Eläimen pelastaminen,61.172512361,25.549142484
2024-06-11,Lohja,21:21:04,Palohälytys,60.250916253,24.065782053
2024-06-11,Turku,20:53:11,Rakennuspalo,60.451690351,22.266866666
2024-06-11,Tampere,20:30:17,Liikennevälinepalo,61.49774257,23.761290078
2024-06-11,Tampere,20:27:17,Eläimen pelastaminen,61.49774257,23.761290078
2024-06-11,Orimattila,20:22:05,Tieliikenneonnettomuus,60.80402214,25.734288563
2024-06-11,Orivesi,20:18:00,Rakennuspalo,61.677407146,24.357389414
2024-06-11,Suonenjoki,20:11:09,Maastopalo,62.623037446,27.127576934
2024-06-11,Kuopio,20:10:42,Rakennuspalo,62.892982923,27.688934744
2024-06-11,Helsinki,20:01:56,Rakennuspalo,60.166640739,24.943536799
2024-06-11,Suonenjoki,20:00:09,Ihmisen pelastaminen puristuksista,62.623037446,27.127576934
2024-06-11,Rauma,19:55:30,Palohälytys,61.128737875,21.511126919
2024-06-11,Hämeenlinna,19:49:06,Tieliikenneonnettomuus,60.996174323,24.464424988
2024-06-11,Helsinki,19:46:11,Eläimen pelastaminen,60.166640739,24.943536799
2024-06-11,Pori,19:40:59,Tieliikenneonnettomuus,61.483726303,21.795900114
2024-06-11,Espoo,19:37:39,Rakennuspalo,60.206376371,24.656728549
2024-06-11,Espoo,19:36:55,Palohälytys,60.206376371,24.656728549
2024-06-11,Kruunupyy,19:35:16,Rakennuspalo,63.727817733,23.033771859
2024-06-11,Helsinki,19:34:23,Palohälytys,60.166640739,24.943536799
2024-06-11,Imatra,19:30:27,Ihmisen pelastaminen vedestä,61.171527381,28.769224555
2024-06-11,Vantaa,19:29:43,Rakennuspalo,60.298133721,25.006641332
2024-06-11,Nurmes,19:23:19,Palohälytys,63.544266312,29.132995571
2024-06-11,Vihti,19:21:17,Tieliikenneonnettomuus,60.416791924,24.319858395
2024-06-11,Kuortane,19:20:28,Maastopalo,62.807410615,23.506393077
2024-06-11,Isokyrö,19:13:11,Rakennuspalo,63.000103009,22.318211434
2024-06-11,Imatra,18:43:15,Palohälytys,61.171527381,28.769224555
2024-06-11,Hämeenkyrö,18:38:21,Palohälytys,61.640922455,23.195714863
2024-06-11,Vantaa,18:34:02,Palohälytys,60.298133721,25.006641332
2024-06-11,Keminmaa,18:29:12,Öljy- tai ympäristöonnettomuus maalla,65.798981364,24.54262919
2024-06-11,Oulu,18:28:21,Palohälytys,65.013784817,25.47209907
2024-06-11,Kauhajoki,18:23:37,Palohälytys,62.425088156,22.177243878
2024-06-11,Seinäjoki,18:15:39,Tieliikenneonnettomuus,62.786662897,22.842279603
2024-06-11,Pöytyä,18:09:27,Maastopalo,60.721369364,22.599537679
2024-06-11,Siuntio,17:56:39,Öljy- tai ympäristöonnettomuus maalla,60.138017546,24.224863347
2024-06-11,Hyvinkää,17:45:18,Palohälytys,60.631016885,24.861124319
2024-06-11,Närpiö,17:41:01,Palohälytys,62.473293481,21.336718308
2024-06-11,Padasjoki,17:39:46,Maastopalo,61.351408456,25.277610756
2024-06-11,Kerava,17:35:54,Tieliikenneonnettomuus,60.404868786,25.103548718
2024-06-11,Espoo,17:35:32,Palohälytys,60.206376371,24.656728549
2024-06-11,Koski Tl,17:15:45,Rakennuspalo,60.652981939,23.137367393
2024-06-11,Vihti,17:14:53,Palohälytys,60.416791924,24.319858395
2024-06-11,Pori,17:14:13,Maastopalo,61.483726303,21.795900114
2024-06-11,Espoo,17:09:34,Palohälytys,60.206376371,24.656728549
2024-06-11,Kurikka,17:07:30,Rakennuspalo,62.618893949,22.39877371
2024-06-11,Järvenpää,17:06:36,Eläimen pelastaminen,60.481098394,25.10074741
2024-06-11,Kauhajoki,16:52:14,Tieliikenneonnettomuus,62.425088156,22.177243878
2024-06-11,Eurajoki,16:46:37,Öljy- tai ympäristöonnettomuus maalla,61.203547237,21.73409618
2024-06-11,Oulu,16:38:23,Palohälytys,65.013784817,25.47209907
2024-06-11,Turku,16:27:08,Rakennuspalo,60.451690351,22.266866666
2024-06-11,Kerava,16:25:15,Öljy- tai ympäristöonnettomuus maalla,60.404868786,25.103548718
2024-06-11,Sodankylä,16:19:40,Palohälytys,67.414920225,26.590673697
2024-06-11,Kuopio,16:05:51,Ihmisen pelastaminen vedestä,62.892982923,27.688934744
2024-06-11,Helsinki,12:42:00,Ensitiedote liikenneonnettomuudesta.,60.166640739,24.943536799
2024-06-11,Vantaa,15:39:51,Rakennuspalo,60.298133721,25.006641332
2024-06-11,Lohja,15:35:33,Rakennuspalo,60.250916253,24.065782053
2024-06-11,Helsinki,15:28:21,Öljy- tai ympäristöonnettomuus maalla,60.166640739,24.943536799
2024-06-11,Vantaa,15:24:22,Öljy- tai ympäristöonnettomuus maalla,60.298133721,25.006641332
