date,location,time,type
2024-06-11,Orivesi,20:18:00,Rakennuspalo
2024-06-11,Kuopio,20:10:42,Rakennuspalo
2024-06-11,Pori,19:40:59,Tieliikenneonnettomuus
2024-06-11,Kruunupyy,19:35:16,Rakennuspalo
2024-06-11,Koski Tl,17:15:45,Rakennuspalo
2024-06-11,Kurikka,17:07:30,Rakennuspalo
2024-06-11,Turku,15:21:47,Vahingontorjunta
2024-06-11,Ulvila,15:19:32,Ihmisen pelastaminen
2024-06-11,Kouvola,14:31:09,Tulipalo
2024-06-11,Ii,13:57:46,Ihmisen pelastaminen vedestä
2024-06-11,Laukaa,13:46:41,Ihmisen pelastaminen vedestä
2024-06-11,Salo,12:02:51,Rakennuspalo
2024-06-10,Tuusula,19:24:01,Vahingontorjunta
2024-06-10,Vaasa,18:17:31,Rakennuspalo
2024-06-10,Loimaa,17:55:09,Liikennevälinepalo
2024-06-10,Janakkala,09:19:33,Vaarallisen aineen onnettomuus
2024-06-11,Kemijärvi,23:55:14,Maastopalo
2024-06-11,Oulu,23:49:28,Palohälytys
2024-06-11,Kauhajoki,23:07:17,Palohälytys
2024-06-11,Leppävirta,22:16:50,Rakennuspalo
2024-06-11,Leppävirta,22:16:50,Tulipalo
2024-06-11,Helsinki,22:14:22,Palohälytys
2024-06-11,Lohja,21:59:46,Tulipalo
2024-06-11,Lappeenranta,21:55:57,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Salo,21:55:32,Rakennuspalo
2024-06-11,Lumijoki,21:54:22,Savuhavainto
2024-06-11,Kouvola,21:47:41,Palohälytys
2024-06-11,Hämeenlinna,21:40:13,Palohälytys
2024-06-11,Lahti,21:39:05,Savuhavainto
2024-06-11,Helsinki,21:32:19,Eläimen pelastaminen
2024-06-11,Asikkala,21:28:58,Eläimen pelastaminen
2024-06-11,Lohja,21:21:04,Palohälytys
2024-06-11,Turku,20:53:11,Rakennuspalo
2024-06-11,Tampere,20:30:17,Liikennevälinepalo
2024-06-11,Tampere,20:27:17,Eläimen pelastaminen
2024-06-11,Orimattila,20:22:05,Tieliikenneonnettomuus
2024-06-11,Orivesi,20:18:00,Rakennuspalo
2024-06-11,Suonenjoki,20:11:09,Maastopalo
2024-06-11,Kuopio,20:10:42,Rakennuspalo
2024-06-11,Helsinki,20:01:56,Rakennuspalo
2024-06-11,Suonenjoki,20:00:09,Ihmisen pelastaminen puristuksista
2024-06-11,Rauma,19:55:30,Palohälytys
2024-06-11,Hämeenlinna,19:49:06,Tieliikenneonnettomuus
2024-06-11,Helsinki,19:46:11,Eläimen pelastaminen
2024-06-11,Pori,19:40:59,Tieliikenneonnettomuus
2024-06-11,Espoo,19:37:39,Rakennuspalo
2024-06-11,Espoo,19:36:55,Palohälytys
2024-06-11,Kruunupyy,19:35:16,Rakennuspalo
2024-06-11,Helsinki,19:34:23,Palohälytys
2024-06-11,Imatra,19:30:27,Ihmisen pelastaminen vedestä
2024-06-11,Vantaa,19:29:43,Rakennuspalo
2024-06-11,Nurmes,19:23:19,Palohälytys
2024-06-11,Vihti,19:21:17,Tieliikenneonnettomuus
2024-06-11,Kuortane,19:20:28,Maastopalo
2024-06-11,Isokyrö,19:13:11,Rakennuspalo
2024-06-11,Imatra,18:43:15,Palohälytys
2024-06-11,Hämeenkyrö,18:38:21,Palohälytys
2024-06-11,Vantaa,18:34:02,Palohälytys
2024-06-11,Keminmaa,18:29:12,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Oulu,18:28:21,Palohälytys
2024-06-11,Kauhajoki,18:23:37,Palohälytys
2024-06-11,Seinäjoki,18:15:39,Tieliikenneonnettomuus
2024-06-11,Pöytyä,18:09:27,Maastopalo
2024-06-11,Siuntio,17:56:39,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Hyvinkää,17:45:18,Palohälytys
2024-06-11,Närpiö,17:41:01,Palohälytys
2024-06-11,Padasjoki,17:39:46,Maastopalo
2024-06-11,Kerava,17:35:54,Tieliikenneonnettomuus
2024-06-11,Espoo,17:35:32,Palohälytys
2024-06-11,Koski Tl,17:15:45,Rakennuspalo
2024-06-11,Vihti,17:14:53,Palohälytys
2024-06-11,Pori,17:14:13,Maastopalo
2024-06-11,Espoo,17:09:34,Palohälytys
2024-06-11,Kurikka,17:07:30,Rakennuspalo
2024-06-11,Järvenpää,17:06:36,Eläimen pelastaminen
2024-06-11,Kauhajoki,16:52:14,Tieliikenneonnettomuus
2024-06-11,Eurajoki,16:46:37,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Oulu,16:38:23,Palohälytys
2024-06-11,Turku,16:27:08,Rakennuspalo
2024-06-11,Kerava,16:25:15,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Sodankylä,16:19:40,Palohälytys
2024-06-11,Kuopio,16:05:51,Ihmisen pelastaminen vedestä
2024-06-11,Helsinki,12:42:00,Ensitiedote liikenneonnettomuudesta.
2024-06-11,Vantaa,15:39:51,Rakennuspalo
2024-06-11,Lohja,15:35:33,Rakennuspalo
2024-06-11,Helsinki,15:28:21,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Vantaa,15:24:22,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Lapua,15:22:44,Palohälytys
2024-06-11,Turku,15:21:47,Vahingontorjunta
2024-06-11,Turku,15:21:47,Vahingontorjunta
2024-06-11,Ulvila,15:19:32,Ihmisen pelastaminen
2024-06-11,Helsinki,12:12:00,Liikennetiedote onnettomuudesta. Tilanne ohi.
2024-06-11,Helsinki,15:09:58,Tieliikenneonnettomuus
2024-06-11,Hollola,15:09:22,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Helsinki,15:08:45,Palohälytys
2024-06-11,Laukaa,14:55:55,Eläimen pelastaminen
2024-06-11,Vantaa,14:55:51,Tieliikenneonnettomuus
2024-06-11,Vantaa,14:55:45,Tieliikenneonnettomuus
2024-06-11,Kirkkonummi,14:48:41,Vahingontorjunta
2024-06-11,Kouvola,14:46:25,Palohälytys
2024-06-11,Kotka,14:45:09,Palohälytys
2024-06-11,Jämsä,14:33:32,Liikennevälinepalo
2024-06-11,Helsinki,14:33:30,Rakennuspalo
2024-06-11,Helsinki,14:33:30,Rakennuspalo
2024-06-11,Kouvola,14:31:09,Tulipalo
2024-06-11,Joensuu,14:30:17,Eläimen pelastaminen
2024-06-11,Helsinki,14:28:10,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Iisalmi,14:18:08,Rakennuspalo
2024-06-11,Jyväskylä,14:14:44,Eläimen pelastaminen
2024-06-11,Turku,14:04:38,Palohälytys
2024-06-11,Helsinki,14:00:35,Eläimen pelastaminen
2024-06-11,Ylöjärvi,13:59:54,Vahingontorjunta
2024-06-11,Ii,13:57:46,Ihmisen pelastaminen vedestä
2024-06-11,Keminmaa,13:54:34,Vahingontorjunta
2024-06-11,Laukaa,13:46:41,Ihmisen pelastaminen vedestä
2024-06-11,Vantaa,13:38:28,Tieliikenneonnettomuus
2024-06-11,Oulu,13:38:18,Vahingontorjunta
2024-06-11,Joensuu,13:34:04,Palohälytys
2024-06-11,Turku,13:30:44,Palohälytys
2024-06-11,Nurmijärvi,13:24:36,Öljy- tai ympäristöonnettomuus vesistössä
2024-06-11,Lahti,13:23:00,Rakennuspalo
2024-06-11,Tampere,13:21:18,Palohälytys
2024-06-11,Salo,13:16:06,Rakennuspalo
2024-06-11,Kouvola,13:14:09,Palohälytys
2024-06-11,Kotka,13:11:29,Eläimen pelastaminen
2024-06-11,Savonlinna,13:11:02,Palohälytys
2024-06-11,Leppävirta,12:58:09,Eläimen pelastaminen
2024-06-11,Vihti,12:57:34,Palohälytys
2024-06-11,Koski Tl,12:46:43,Tieliikenneonnettomuus
2024-06-11,Helsinki,12:44:38,Rakennuspalo
2024-06-11,Lapinlahti,12:42:17,Palohälytys
2024-06-11,Hämeenlinna,09:36:00,Liikennetiedote onnettomuudesta. Tilanne ohi.
2024-06-11,Parkano,12:28:15,Eläimen pelastaminen
2024-06-11,Helsinki,12:19:58,Tieliikenneonnettomuus
2024-06-11,Soini,12:18:56,Vahingontorjunta
2024-06-11,Hämeenlinna,12:14:37,Tieliikenneonnettomuus
2024-06-11,Kotka,12:12:05,Palohälytys
2024-06-11,Sysmä,12:03:38,Vahingontorjunta
2024-06-11,Salo,12:02:51,Rakennuspalo
2024-06-11,Salo,12:02:51,Rakennuspalo
2024-06-11,Turku,11:53:14,Rakennuspalo
2024-06-11,Vaasa,11:46:48,Rakennuspalo
2024-06-11,Luumäki,11:28:58,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Vieremä,11:26:22,Palohälytys
2024-06-11,Lahti,11:19:47,Palohälytys
2024-06-11,Lohja,11:13:39,Tieliikenneonnettomuus
2024-06-11,Joensuu,11:10:40,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Aura,11:08:36,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Muurame,11:05:47,Vahingontorjunta
2024-06-11,Sulkava,10:56:20,Eläimen pelastaminen
2024-06-11,Sonkajärvi,07:47:00,Liikennetiedote onnettomuudesta. Tilanne ohi.
2024-06-11,Turku,10:44:57,Ihmisen pelastaminen
2024-06-11,Kuopio,10:36:53,Palohälytys
2024-06-11,Forssa,07:34:00,Ensitiedote liikenneonnettomuudesta.
2024-06-11,Kuopio,10:32:03,Vahingontorjunta
2024-06-11,Forssa,10:31:59,Tieliikenneonnettomuus
2024-06-11,Vantaa,10:30:54,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Sonkajärvi,10:28:16,Tieliikenneonnettomuus
2024-06-11,Sonkajärvi,10:28:16,Tieliikenneonnettomuus
2024-06-11,Lempäälä,10:25:52,Liikennevälinepalo
2024-06-11,Akaa,10:20:45,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Tampere,10:11:26,Rakennuspalo
2024-06-11,Seinäjoki,09:58:53,Palohälytys
2024-06-11,Espoo,09:39:14,Palohälytys
