date,location,time,type
2024-06-12,Helsinki,07:53:05,Tieliikenneonnettomuus
2024-06-11,Orivesi,20:18:00,Rakennuspalo
2024-06-11,Kuopio,20:10:42,Rakennuspalo
2024-06-11,Pori,19:40:59,Tieliikenneonnettomuus
2024-06-11,Kruunupyy,19:35:16,Rakennuspalo
2024-06-11,Koski Tl,17:15:45,Rakennuspalo
2024-06-11,Kurikka,17:07:30,Rakennuspalo
2024-06-11,Turku,15:21:47,Vahingontorjunta
2024-06-11,Ulvila,15:19:32,Ihmisen pelastaminen
2024-06-11,Kouvola,14:31:09,Tulipalo
2024-06-11,Ii,13:57:46,Ihmisen pelastaminen vedestä
2024-06-11,Laukaa,13:46:41,Ihmisen pelastaminen vedestä
2024-06-11,Salo,12:02:51,Rakennuspalo
2024-06-10,Tuusula,19:24:01,Vahingontorjunta
2024-06-10,Vaasa,18:17:31,Rakennuspalo
2024-06-10,Loimaa,17:55:09,Liikennevälinepalo
2024-06-12,Lieksa,13:01:06,Liikennevälinepalo
2024-06-12,Laitila,09:57:00,Ensitiedote liikenneonnettomuudesta.
2024-06-12,Helsinki,12:54:15,Rakennuspalo
2024-06-12,Kemi,12:53:43,Tieliikenneonnettomuus
2024-06-12,Laitila,12:53:32,Tieliikenneonnettomuus
2024-06-12,Varkaus,12:52:44,Palohälytys
2024-06-12,Hämeenlinna,09:46:00,Ensitiedote liikenneonnettomuudesta.
2024-06-12,Vieremä,12:45:10,Vahingontorjunta
2024-06-12,Seinäjoki,12:45:00,Palohälytys
2024-06-12,Hämeenlinna,12:41:29,Tieliikenneonnettomuus
2024-06-12,Raahe,12:37:40,Tieliikenneonnettomuus
2024-06-12,Kuopio,12:34:13,Öljy- tai ympäristöonnettomuus maalla
2024-06-12,Pudasjärvi,12:30:51,Palohälytys
2024-06-12,Eura,12:26:13,Palohälytys
2024-06-12,Espoo,12:18:56,Palohälytys
2024-06-12,Kuopio,12:12:30,Palohälytys
2024-06-12,Hyvinkää,12:06:43,Tieliikenneonnettomuus
2024-06-12,Sastamala,12:01:21,Ihmisen pelastaminen puristuksista
2024-06-12,Seinäjoki,11:55:57,Tieliikenneonnettomuus
2024-06-12,Tampere,11:50:52,Palohälytys
2024-06-12,Helsinki,11:36:22,Öljy- tai ympäristöonnettomuus maalla
2024-06-12,Hämeenkyrö,11:31:40,Tieliikenneonnettomuus
2024-06-12,Helsinki,11:26:47,Palohälytys
2024-06-12,Helsinki,11:26:47,Rakennuspalo
2024-06-12,Raasepori,10:34:26,Eläimen pelastaminen
2024-06-12,Helsinki,10:32:56,Palohälytys
2024-06-12,Hämeenlinna,10:32:46,Vahingontorjunta
2024-06-12,Helsinki,10:27:30,Palohälytys
2024-06-12,Helsinki,10:19:22,Rakennuspalo
2024-06-12,Joensuu,10:18:40,Vahingontorjunta
2024-06-12,Kankaanpää,10:18:19,Palohälytys
2024-06-12,Kaskinen,10:14:26,Palohälytys
2024-06-12,Lempäälä,07:11:00,Liikennetiedote onnettomuudesta. Tilanne ohi.
2024-06-12,Kangasala,10:10:07,Tulipalo
2024-06-12,Hämeenlinna,10:10:02,Vahingontorjunta
2024-06-12,Lempäälä,10:09:44,Tieliikenneonnettomuus
2024-06-12,Närpiö,10:09:37,Palohälytys
2024-06-12,Kuopio,09:35:29,Öljy- tai ympäristöonnettomuus maalla
2024-06-12,Mäntsälä,09:31:03,Tieliikenneonnettomuus
2024-06-12,Pietarsaari,09:28:27,Palohälytys
2024-06-12,Lempäälä,09:22:15,Palohälytys
2024-06-12,Tampere,09:11:32,Palohälytys
2024-06-12,Virolahti,08:59:07,Öljy- tai ympäristöonnettomuus maalla
2024-06-12,Turku,08:32:43,Vahingontorjunta
2024-06-12,Kotka,08:31:10,Öljy- tai ympäristöonnettomuus vesistössä
2024-06-12,Oulu,08:19:57,Palohälytys
2024-06-12,Sotkamo,08:15:16,Rakennuspalo
2024-06-12,Rovaniemi,07:55:28,Vahingontorjunta
2024-06-12,Helsinki,07:53:05,Tieliikenneonnettomuus
2024-06-12,Mäntsälä,07:49:19,Tulipalo
2024-06-12,Sipoo,07:48:39,Tieliikenneonnettomuus
2024-06-12,Lahti,07:48:08,Palohälytys
2024-06-12,Hattula,07:45:34,Palohälytys
2024-06-12,Janakkala,07:41:14,Vahingontorjunta
2024-06-12,Kuopio,07:35:24,Eläimen pelastaminen
2024-06-12,Helsinki,07:28:14,Rakennuspalo
2024-06-12,Hankasalmi,06:46:12,Maastopalo
2024-06-12,Espoo,06:15:19,Palohälytys
2024-06-12,Ylöjärvi,06:00:52,Rakennuspalo
2024-06-12,Säkylä,05:49:03,Tieliikenneonnettomuus
2024-06-12,Vantaa,04:51:45,Palohälytys
2024-06-12,Jyväskylä,04:43:58,Rakennuspalo
2024-06-12,Laitila,04:24:05,Tulipalo
2024-06-12,Laitila,04:24:05,Maastopalo
2024-06-12,Vantaa,04:08:15,Tulipalo
2024-06-12,Vantaa,04:08:15,Liikennevälinepalo
2024-06-12,Lappeenranta,04:01:21,Öljy- tai ympäristöonnettomuus maalla
2024-06-12,Espoo,03:08:13,Palohälytys
2024-06-12,Somero,02:50:00,Eläimen pelastaminen
2024-06-12,Laitila,02:16:04,Savuhavainto
2024-06-12,Laitila,02:16:04,Maastopalo
2024-06-12,Helsinki,02:04:46,Palohälytys
2024-06-12,Espoo,01:49:46,Palohälytys
2024-06-12,Kokkola,01:37:40,Tulipalo
2024-06-12,Hamina,01:35:38,Maastopalo
2024-06-12,Hamina,01:35:38,Rakennuspalo
2024-06-12,Vantaa,01:08:36,Rakennuspalo
2024-06-12,Kirkkonummi,01:03:15,Palohälytys
2024-06-12,Laukaa,00:45:40,Palohälytys
2024-06-12,Lempäälä,00:17:20,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Kemijärvi,23:55:14,Maastopalo
2024-06-11,Oulu,23:49:28,Palohälytys
2024-06-11,Kauhajoki,23:07:17,Palohälytys
2024-06-11,Leppävirta,22:16:50,Rakennuspalo
2024-06-11,Leppävirta,22:16:50,Tulipalo
2024-06-11,Helsinki,22:14:22,Palohälytys
2024-06-11,Lohja,21:59:46,Tulipalo
2024-06-11,Lappeenranta,21:55:57,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Salo,21:55:32,Rakennuspalo
2024-06-11,Lumijoki,21:54:22,Savuhavainto
2024-06-11,Kouvola,21:47:41,Palohälytys
2024-06-11,Hämeenlinna,21:40:13,Palohälytys
2024-06-11,Lahti,21:39:05,Savuhavainto
2024-06-11,Helsinki,21:32:19,Eläimen pelastaminen
2024-06-11,Asikkala,21:28:58,Eläimen pelastaminen
2024-06-11,Lohja,21:21:04,Palohälytys
2024-06-11,Turku,20:53:11,Rakennuspalo
2024-06-11,Tampere,20:30:17,Liikennevälinepalo
2024-06-11,Tampere,20:27:17,Eläimen pelastaminen
2024-06-11,Orimattila,20:22:05,Tieliikenneonnettomuus
2024-06-11,Orivesi,20:18:00,Rakennuspalo
2024-06-11,Suonenjoki,20:11:09,Maastopalo
2024-06-11,Kuopio,20:10:42,Rakennuspalo
2024-06-11,Helsinki,20:01:56,Rakennuspalo
2024-06-11,Suonenjoki,20:00:09,Ihmisen pelastaminen puristuksista
2024-06-11,Rauma,19:55:30,Palohälytys
2024-06-11,Hämeenlinna,19:49:06,Tieliikenneonnettomuus
2024-06-11,Helsinki,19:46:11,Eläimen pelastaminen
2024-06-11,Pori,19:40:59,Tieliikenneonnettomuus
2024-06-11,Espoo,19:37:39,Rakennuspalo
2024-06-11,Espoo,19:36:55,Palohälytys
2024-06-11,Kruunupyy,19:35:16,Rakennuspalo
2024-06-11,Helsinki,19:34:23,Palohälytys
2024-06-11,Imatra,19:30:27,Ihmisen pelastaminen vedestä
2024-06-11,Vantaa,19:29:43,Rakennuspalo
2024-06-11,Nurmes,19:23:19,Palohälytys
2024-06-11,Vihti,19:21:17,Tieliikenneonnettomuus
2024-06-11,Kuortane,19:20:28,Maastopalo
2024-06-11,Isokyrö,19:13:11,Rakennuspalo
2024-06-11,Imatra,18:43:15,Palohälytys
2024-06-11,Hämeenkyrö,18:38:21,Palohälytys
2024-06-11,Vantaa,18:34:02,Palohälytys
2024-06-11,Keminmaa,18:29:12,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Oulu,18:28:21,Palohälytys
2024-06-11,Kauhajoki,18:23:37,Palohälytys
2024-06-11,Seinäjoki,18:15:39,Tieliikenneonnettomuus
2024-06-11,Pöytyä,18:09:27,Maastopalo
2024-06-11,Siuntio,17:56:39,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Hyvinkää,17:45:18,Palohälytys
2024-06-11,Närpiö,17:41:01,Palohälytys
2024-06-11,Padasjoki,17:39:46,Maastopalo
2024-06-11,Kerava,17:35:54,Tieliikenneonnettomuus
2024-06-11,Espoo,17:35:32,Palohälytys
2024-06-11,Koski Tl,17:15:45,Rakennuspalo
2024-06-11,Vihti,17:14:53,Palohälytys
2024-06-11,Pori,17:14:13,Maastopalo
2024-06-11,Espoo,17:09:34,Palohälytys
2024-06-11,Kurikka,17:07:30,Rakennuspalo
2024-06-11,Järvenpää,17:06:36,Eläimen pelastaminen
2024-06-11,Kauhajoki,16:52:14,Tieliikenneonnettomuus
2024-06-11,Eurajoki,16:46:37,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Oulu,16:38:23,Palohälytys
2024-06-11,Turku,16:27:08,Rakennuspalo
2024-06-11,Kerava,16:25:15,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Sodankylä,16:19:40,Palohälytys
2024-06-11,Kuopio,16:05:51,Ihmisen pelastaminen vedestä
2024-06-11,Helsinki,12:42:00,Ensitiedote liikenneonnettomuudesta.
2024-06-11,Vantaa,15:39:51,Rakennuspalo
2024-06-11,Lohja,15:35:33,Rakennuspalo
2024-06-11,Helsinki,15:28:21,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Vantaa,15:24:22,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Lapua,15:22:44,Palohälytys
2024-06-11,Turku,15:21:47,Vahingontorjunta
2024-06-11,Turku,15:21:47,Vahingontorjunta
2024-06-11,Ulvila,15:19:32,Ihmisen pelastaminen
2024-06-11,Helsinki,12:12:00,Liikennetiedote onnettomuudesta. Tilanne ohi.
2024-06-11,Helsinki,15:09:58,Tieliikenneonnettomuus
2024-06-11,Hollola,15:09:22,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Helsinki,15:08:45,Palohälytys
2024-06-11,Laukaa,14:55:55,Eläimen pelastaminen
2024-06-11,Vantaa,14:55:51,Tieliikenneonnettomuus
2024-06-11,Vantaa,14:55:45,Tieliikenneonnettomuus
2024-06-11,Kirkkonummi,14:48:41,Vahingontorjunta
2024-06-11,Kouvola,14:46:25,Palohälytys
2024-06-11,Kotka,14:45:09,Palohälytys
2024-06-11,Jämsä,14:33:32,Liikennevälinepalo
2024-06-11,Helsinki,14:33:30,Rakennuspalo
2024-06-11,Helsinki,14:33:30,Rakennuspalo
2024-06-11,Kouvola,14:31:09,Tulipalo
2024-06-11,Joensuu,14:30:17,Eläimen pelastaminen
2024-06-11,Helsinki,14:28:10,Öljy- tai ympäristöonnettomuus maalla
2024-06-11,Iisalmi,14:18:08,Rakennuspalo
2024-06-11,Jyväskylä,14:14:44,Eläimen pelastaminen
2024-06-11,Turku,14:04:38,Palohälytys
2024-06-11,Helsinki,14:00:35,Eläimen pelastaminen
